	Title	Price	Baths	Land size	Beds	House size	Brand New	Town	District
142	House	27500000	2	126.0	5	5500.0	0	 Dikwella	  Matara
143	House	23500000	3	7.0	5	3250.0	0	 Piliyandala	  Colombo
144	House	10500000	1	6.0	2	1600.0	0	 Angoda	  Colombo
145	House	12000000	2	10.0	3	1325.0	0	 Horana	  Kalutara
146	House	14000000	3	12.0	3	1200.0	0	 Piliyandala	  Colombo
147	House	19500000	3	6.5	4	2000.0	0	 Piliyandala	  Colombo
148	House	21000000	2	10.0	5	2419.0	0	 Delgoda	  Gampaha
149	House	8000000	2	10.05	4	2400.0	0	 Kadawatha	  Gampaha
150		23800000	2	6.5	3	1356.0	0	 Piliyandala	  Colombo
151	House	30500000	4	8.0	5	3700.0	0	 Piliyandala	  Colombo
152	House	25500000	5	7.0	4	2500.0	0	 Piliyandala	  Colombo
153	House	46500000	4	28.0	4	3850.0	0	 Piliyandala	  Colombo
154	House	33000000	4	10.0	4	3850.0	0	 Piliyandala	  Colombo
155	House	12000000	1	10.0	3	1500.0	0	 Karapitiya	  Galle
156	House	9900000	1	10.0	3	1425.0	0	 Negombo	  Gampaha
157	House	3990000	1	45.0	3	2500.0	0	 Kandy City	  Kandy
158	House	49500000	4	10.0	4	4200.0	0	 Talawatugoda	  Colombo
159	House	40000000	2	7.0	3	3300.0	0	 Talawatugoda	  Colombo
160	House	13000000	1	10.0	3	1500.0	0	 Karapitiya	  Galle
161	House	13800000	1	23.0	2	1000.0	0	 Karapitiya	  Galle
162	House	110000000	3	50.0	4	3000.0	0	 Talawatugoda	  Colombo
163	House	4800000	1	10.5	1	800.0	0	 Homagama	  Colombo
164	House	20000000	2	7.0	4	1700.0	0	 Angoda	  Colombo
165	House	47500000	4	14.8	5	3800.0	0	 Talawatugoda	  Colombo
166	House	44000000	4	7.7	4	3300.0	0	 Talawatugoda	  Colombo
167	House	9500000	2	7.0	4	1544.0	0	 Matara City	  Matara
168	House	60000000	4	15.0	4	4000.0	0	 Talawatugoda	  Colombo
169	House	23500000	2	149.0	4	2500.0	0	 Negombo	  Gampaha
170	House	42500000	5	13.5	8	5000.0	0	 Nugegoda	  Colombo
171	House	63000000	6	12.0	6	4000.0	0	 Nugegoda	  Colombo
172	House	15400000	3	8.0	3	1300.0	1	 Athurugiriya	  Colombo
173	House	5500000	2	20.0	3	4500.0	0	 Negombo	  Gampaha
174	House	68000000	4	11.0	5	5000.0	0	 Nugegoda	  Colombo
175	House	4600000	1	22.0	3	1820.0	0	 Gampaha City	  Gampaha
176	House	47500000	4	7.0	4	3800.0	0	 Nugegoda	  Colombo
177	House	15500000	5	27.0	6	7100.0	0	 Nugegoda	  Colombo
178	House	26500000	3	6.5	4	2800.0	0	 Malabe	  Colombo
179	House	36000000	4	10.0	4	3200.0	0	 Malabe	  Colombo
180	House	65000000	4	12.5	5	4000.0	0	 Malabe	  Colombo
181	House	135000000	5	62.0	5	5600.0	0	 Malabe	  Colombo
182	House	45000000	3	10.0	4	3200.0	0	 Malabe	  Colombo
183	House	37500000	3	9.0	5	3100.0	0	 Malabe	  Colombo
184	House	48000000	3	10.12	4	2675.0	0	 Malabe	  Colombo
185	House	29500000	4	11.0	5	2850.0	1	 Athurugiriya	  Colombo
186	House	27000000	4	7.0	4	3250.0	1	 Piliyandala	  Colombo
187	House	18500000	3	7.5	3	1500.0	0	 Malabe	  Colombo
188	House	95000000	4	10.0	4	3200.0	0	 Kotte	  Colombo
189	House	26500000	3	6.5	4	2200.0	1	 Malabe	  Colombo
190	House	8700000	2	10.0	3	1400.0	0	 Homagama	  Colombo
191	House	25000000	4	10.0	4	2380.0	0	 Kottawa	  Colombo
192	House	60000000	4	13.0	4	3500.0	0	 Kotte	  Colombo
193	House	80000000	4	16.0	4	4900.0	0	 Kotte	  Colombo
194	House	33000000	4	8.0	4	3000.0	0	 Kottawa	  Colombo
195	House	15000000	3	10.0	3	1400.0	0	 Athurugiriya	  Colombo
196	House	33000000	4	8.0	4	3000.0	0	 Kottawa	  Colombo
197	House	6800000	2	3.5	2	1000.0	1	 Wellampitiya	  Colombo
198	House	9000000	2	15.0	4	1850.0	0	 Gampaha City	  Gampaha
199	House	8700000	2	10.0	3	1200.0	0	 Wadduwa	  Kalutara
200	House	29500000	3	8.0	4	4000.0	0	 Kottawa	  Colombo
201	House	30000000	2	8.8	2	1250.0	0	 Ratmalana	  Colombo
202	House	55000000	2	11.0	4	3300.0	0	 Battaramulla	  Colombo
203	House	65000000	3	10.0	5	4000.0	0	 Battaramulla	  Colombo
204	House	14000000	2	10.0	3	1350.0	0	 Malabe	  Colombo
205	House	85000000	4	16.0	4	3500.0	0	 Battaramulla	  Colombo
206	House	50000000	7	18.0	10	5000.0	0	 Karapitiya	  Galle
207	House	115000000	4	22.0	5	4800.0	0	 Talawatugoda	  Colombo
208	House	45000000	4	7.0	4	3800.0	0	 Battaramulla	  Colombo
209	House	115000000	4	22.0	5	4500.0	0	 Battaramulla	  Colombo
210	House	85000000	4	12.0	4	5500.0	0	 Talawatugoda	  Colombo
211	House	12000000	2	11.0	4	1700.0	0	 Ruwanwella	  Kegalle
212	House	13500000	2	12.5	3	1450.0	0	 Kandana	  Gampaha
213	House	170000000	7	24.0	6	1400.0	0	 Talawatugoda	  Colombo
214	House	18500000	1	20.0	4	2344.0	0	 Kadawatha	  Gampaha
215	House	75000000	4	14.0	5	4000.0	0	 Battaramulla	  Colombo
216	House	18000000	3	8.0	3	1400.0	1	 Athurugiriya	  Colombo
217	House	12000000	3	12.0	3	1825.0	0	 Homagama	  Colombo
218	House	21500000	4	12.0	4	2500.0	0	 Piliyandala	  Colombo
219	House	24800000	4	6.5	4	2500.0	0	 Piliyandala	  Colombo
220	House	7500000	1	5.25	3	1200.0	0	 Kadawatha	  Gampaha
221		13500000	3	16.5	5	3000.0	0	 Matara City	  Matara
222	House	8000000	1	7.0	3	1200.0	0	 Kadawatha	  Gampaha
223	House	17000000	5	26.0	5	10000.0	0	 Colombo 7	  Colombo
224	House	6500000	1	10.0	3	1500.0	0	 Karapitiya	  Galle
225	House	8500000	2	18.9	4	4500.0	0	 Kalutara City	  Kalutara
226	House	28000000	2	10.5	4	2000.0	0	 Battaramulla	  Colombo
227	House	50000000	4	10.0	5	3800.0	0	 Talawatugoda	  Colombo
228	House	5500000	1	6.0	4	1541.0	0	 Yatiyantota	  Kegalle
229	House	12800000	2	6.5	3	1500.0	0	 Piliyandala	  Colombo
230	House	29500000	4	8.0	4	3200.0	0	 Piliyandala	  Colombo
231	House	150000000	4	6.64	4	4000.0	0	 Colombo 4	  Colombo
232	House	47000000	4	11.7	5	3050.0	0	 Battaramulla	  Colombo
233	House	28000000	4	10.0	4	2800.0	0	 Malabe	  Colombo
234	House	29000000	4	10.5	4	2600.0	0	 Malabe	  Colombo
235	House	16000000	2	16.75	5	2800.0	0	 Nittambuwa	  Gampaha
236	House	110000000	3	50.2	4	3000.0	0	 Talawatugoda	  Colombo
237	House	29500000	4	7.5	5	2250.0	0	 Piliyandala	  Colombo
238	House	49500000	5	14.0	6	4000.0	0	 Piliyandala	  Colombo
239	House	3000000	1		3	1594.95	0	 Dambulla	  Matale
240	House	53000000	4	16.0	4	3000.0	0	 Talawatugoda	  Colombo
241	House	15000000	2	7.5	4	2400.0	0	 Negombo	  Gampaha
242	House	25500000	5	7.0	4	3200.0	0	 Piliyandala	  Colombo
244	House	27500000	4	8.5	5	3500.0	0	 Piliyandala	  Colombo
245	House	7600000	1	8.5	3	1300.0	0	 Gampaha City	  Gampaha
246	House	27000000	3	19.0	4	3200.0	0	 Piliyandala	  Colombo
247	House	20000000	3	20.0	6	3025.0	0	 Moratuwa	  Colombo
248	House	4250000	1	25.0	3	1500.0	0	 Minuwangoda	  Gampaha
249	House	25000000	5	23.0	5	2855.0	0	 Moratuwa	  Colombo
250	House	18000000	3	8.0	3	1400.0	1	 Athurugiriya	  Colombo
251	House	12000000	2	14.0	3	2000.0	0	 Karapitiya	  Galle
252	House	32000000	2	30.0	2	2000.0	0	 Homagama	  Colombo
253	House	6800000	1	10.0	4	1400.0	0	 Ambalangoda	  Galle
254	Apartment House	18500000	2	3.0	3	950.0	0	 Athurugiriya	  Colombo
255	House	23000000	2	36.0	5	1800.0	0	 Negombo	  Gampaha
256	House	16500000	2	7.5	3	1500.0	1	 Athurugiriya	  Colombo
257	House	8500000	2	3.0	2	800.0	0	 Wellampitiya	  Colombo
258	House	3800000	2	11.0	2	1500.0	0	 Gampaha City	  Gampaha
259	House	4400000	2	0.75	1	400.0	0	 Colombo 9	  Colombo
260	House	35000000	3	22.0	3	2300.0	0	 Weligama	  Matara
261	House	42500000	5	13.2	8	5000.0	0	 Nugegoda	  Colombo
262	House	55000000	4	11.0	4	3300.0	0	 Battaramulla	  Colombo
263	House	8000000	1	3.0	2	800.0	0	 Wellampitiya	  Colombo
264	House	29000000	4	10.0	4	2600.0	0	 Malabe	  Colombo
265	House	28000000	4	10.0	4	2800.0	1	 Malabe	  Colombo
266	House	15000000	3	10.0	3	1000.0	0	 Athurugiriya	  Colombo
267	House	8500000	1	4.0	2	900.0	0	 Wellampitiya	  Colombo
268	House	85000000	4	16.0	4	3500.0	0	 Battaramulla	  Colombo
269	House	15000000	2	4.0	3	820.0	0	 Colombo 5	  Colombo
270	House	47500000	7	6.0	7	4000.0	0	 Colombo 15	  Colombo
271	House	15000000	2	5.0	3	1000.0	0	 Wellampitiya	  Colombo
272	House	10500000	1	8.0	2	1200.0	0	 Matara City	  Matara
273	House	23000000	4	7.0	4	2200.0	0	 Malabe	  Colombo
274	House	49500000	4	10.0	4	4000.0	0	 Battaramulla	  Colombo
275	House	24800000	3	6.5	4	2280.0	1	 Piliyandala	  Colombo
276	House	48000000	5	80.0	5	1500.0	0	 Haputale	  Badulla
277	House	22500000	3	6.3	4	2200.0	1	 Malabe	  Colombo
